Anyo,IPC_Promedio,Variacion_IPC,IPV_Promedio,Variacion_IPV,Ratio_IPV_IPC
2017,1.5500000000000003,-13.385076252723309,29.195959821428573,NaN,18.836103110599076
2018,1.6916666666666664,6.980680941678386,31.292689732142858,inf,18.498141713581987
2019,0.6916666666666668,20.713869463869468,32.52316964285714,NaN,47.02145008605851
2020,-0.30833333333333335,-inf,32.544229910714286,NaN,-105.54885376447876
2021,3.0833333333333335,inf,34.50496651785714,inf,11.190799951737452
2022,8.391666666666667,0.0834488625099219,38.07580357142857,395.8421922271791,4.537335082990495
2023,3.5500000000000003,-1.7595868501613374,38.846875000000004,inf,10.942781690140846
2024,2.775,1.0574681646710555,44.513526785714284,380.27353222523806,16.04091055341055
2025,2.6750000000000003,0.8770204108019078,49.81782738095238,407.59337433021625,18.623486871384067
