Anyo,Variacion_IPC,Variacion_IPV
2017,-13.385076252723309,NaN
2018,6.980680941678386,inf
2019,20.713869463869468,NaN
2020,-inf,NaN
2021,inf,inf
2022,0.0834488625099219,395.8421922271791
2023,-1.7595868501613374,inf
2024,1.0574681646710555,380.27353222523806
2025,0.8770204108019078,407.59337433021625
